"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Alabama A & M University","4900 Meridian Street, Normal, Alabama 35762","www.aamu.edu/","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","6172","5273","29%","24%","Fall 2014","$15,373","-","100654","00100200"
"Alabama State University","915 S Jackson Street, Montgomery, Alabama 36104-0271","www.alasu.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","4190","3750","32%","33%","Fall 2014","$13,282","-","100724","00100500"
"Albany State University","504 College Drive, Albany, Georgia 31705","https://www.asurams.edu/","4-year, Public","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","City: Small","Yes","6122","5778","26%","45%","Fall 2014","$13,678","-","138716","00154400"
"Alcorn State University","1000 ASU Dr Ste 359, Alcorn State, Mississippi 39096-7500","www.alcorn.edu/","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Rural: Remote","Yes","3523","3069","45%","NA","Fall 2014","$17,804","-","175342","00239600"
"Allen University","1530 Harden Street, Columbia, South Carolina 29204","www.allenuniversity.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","817","754","19%","23%","Fall 2014","$13,858","-","217624","00341700"
"American Baptist College","1800 Baptist World Ctr Dr, Nashville, Tennessee 37207-9980","www.abcnash.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","99","99","64%","NA","Fall 2014","$21,785","-","219505","01046000"
"Arkansas Baptist College","1600 Dr. Martin Luther King Jr. Drive, Little Rock, Arkansas 72202-6068","www.arkansasbaptist.edu/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","Yes","531","531","12%","28%","Fall 2014","$17,087","-","106306","00108700"
"Benedict College","1600 Harden Street, Columbia, South Carolina 29204-1086","www.benedict.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","2040","2034","28%","29%","Fall 2014","$12,155","-","217721","00342000"
"Bennett College","900 E Washington St, Greensboro, North Carolina 27401-3239","www.bennett.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","311","311","29%","47%","Fall 2014","$20,062","-","197993","00291100"
"Bethune-Cookman University","640 Dr Mary McLeod Bethune Blvd, Daytona Beach, Florida 32114-3099","www.cookman.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Small","Yes","2901","2778","33%","8%","Fall 2014","$17,016","-","132602","00146700"
"Bishop State Community College","351 North Broad Street, Mobile, Alabama 36603-5898","www.bishop.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","2846","2846","21%","19%","Fall 2017","$4,868","-","102030","00103000"
"Bluefield State College","219 Rock Street, Bluefield, West Virginia 24701-2198","https://bluefieldstate.edu/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree","Town: Distant","No","1241","1241","32%","15%","Fall 2014","$11,451","-","237215","00380900"
"Bowie State University","14000 Jericho Park Rd, Bowie, Maryland 20715-9465","www.bowiestate.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","6171","5227","43%","27%","Fall 2014","$14,322","-","162007","00206200"
"Central State University","1400 Brush Row Rd, Wilberforce, Ohio 45384-1004","www.centralstate.edu/","4-year, Public","Bachelor's degree","Rural: Fringe","Yes","2033","2033","28%","33%","Fall 2014","$10,260","-","201690","00302600"
"Cheyney University of Pennsylvania","1837 University Circle, Cheyney, Pennsylvania 19319-0200","www.cheyney.edu/","4-year, Public","Bachelor's degree","Suburb: Large","Yes","616","616","27%","47%","Fall 2014","$11,068","-","211608","00331700"
"Claflin University","400 Magnolia Street, Orangeburg, South Carolina 29115-4498","www.claflin.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","2070","1986","50%","7%","Fall 2014","$20,806","-","217873","00342400"
"Clark Atlanta University","223 James P Brawley Drive, SW, Atlanta, Georgia 30314-4391","www.cau.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","Yes","3920","3318","42%","17%","Fall 2014","$29,100","-","138947","00155900"
"Clinton College","1029 Crawford Rd, Rock Hill, South Carolina 29730","www.clintoncollege.edu/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Small","Yes","190","190","8%","NA","Fall 2014","$15,653","-","217891","00492300"
"Coahoma Community College","3240 Friars Point Rd, Clarksdale, Mississippi 38614","www.coahomacc.edu/","2-year, Public","One but less than two years certificate|Associate's degree","Rural: Fringe","Yes","1808","1808","38%","22%","Fall 2017","NA","-","175519","00240100"
"Coppin State University","2500 West North Avenue, Baltimore, Maryland 21216-3698","www.coppin.edu/","4-year, Public","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Large","Yes","2724","2383","30%","35%","Fall 2014","$9,303","-","162283","00206800"
